SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_ZONA,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
MG,49190,OURO FINO,199,2,25272,25224,OURO FINO,Presidente,18957,18957,0.751546146527117,OURO FINO,0.0693653054764166,0.524137385248496
MA,7226,CACHOEIRA GRANDE,110,2,9133,9122,CACHOEIRA GRANDE,Presidente,5962,5962,0.653584740188555,CACHOEIRA GRANDE,0.0340523376765575,0.52074893244279
RS,85219,ARROIO DOS RATOS,50,2,10289,10307,ARROIO DOS RATOS,Presidente,7727,7727,0.749684680314349,ARROIO DOS RATOS,0.0765866459325493,0.493536786859753
SP,71072,SÃO PAULO,403,1,111589,111618,SÃO PAULO,Presidente,84261,84261,0.754905122829651,SÃO PAULO,0.0822124044484671,0.314995205620626
SP,67237,MONGAGUÁ,189,1,50019,49835,MONGAGUÁ,Presidente,33522,33522,0.672659777264974,MONGAGUÁ,0.0947240048781463,0.36234230992223
SP,61719,AREIÓPOLIS,129,2,8565,8556,AREIÓPOLIS,Presidente,6383,6383,0.746026180458158,AREIÓPOLIS,0.0643315820198482,0.46584938704028
RN,16314,BENTO FERNANDES,62,2,4807,4799,BENTO FERNANDES,Presidente,3851,3851,0.802458845592832,BENTO FERNANDES,0.0495111296026628,0.568753900561681
MS,90930,IVINHEMA,27,1,20510,20481,IVINHEMA,Presidente,15403,15403,0.752062887554319,IVINHEMA,0.114188200877621,0.480546075085324
PI,10430,CAMPO MAIOR,7,2,18534,18509,CAMPO MAIOR,Presidente,14999,14999,0.810362526338538,CAMPO MAIOR,0.0910219056868458,0.493795187223481
PB,21830,SÃO JOÃO DO TIGRE,29,1,3874,3868,SÃO JOÃO DO TIGRE,Presidente,2996,2996,0.774560496380559,SÃO JOÃO DO TIGRE,0.0258131130614352,0.647392875580795
SC,83674,TUBARÃO,33,2,51966,51863,TUBARÃO,Presidente,40702,40702,0.784798411198735,TUBARÃO,0.148327752761421,0.341588731093407
SC,80063,APIÚNA,15,1,8202,8190,APIÚNA,Presidente,6431,6431,0.785225885225885,APIÚNA,0.0357229943916118,0.591197268958791
MG,45578,GRUPIARA,110,2,1648,1643,GRUPIARA,Presidente,1303,1303,0.793061472915399,GRUPIARA,0.10497572815534,0.470873786407767
SC,83550,TIJUCAS,31,1,31771,31748,TIJUCAS,Presidente,23962,23962,0.754756205115283,TIJUCAS,0.096629001290485,0.401309370180353
PE,23302,JAQUEIRA,43,2,9965,9942,JAQUEIRA,Presidente,6658,6658,0.669684168175417,JAQUEIRA,0.0347215253386854,0.586753637732062
MA,7706,ITAIPAVA DO GRAJAÚ,15,1,9900,9885,ITAIPAVA DO GRAJAÚ,Presidente,7695,7695,0.77845220030349,ITAIPAVA DO GRAJAÚ,0.0406060606060606,0.627373737373737
MT,90360,NOVA MONTE VERDE,50,2,6101,6099,NOVA MONTE VERDE,Presidente,4480,4480,0.73454664699131,NOVA MONTE VERDE,0.0822815931814457,0.502540567120144
SC,80721,SANTA HELENA,45,2,2264,2262,SANTA HELENA,Presidente,1898,1898,0.839080459770115,SANTA HELENA,0.0923144876325088,0.520759717314488
RN,17434,MACAU,30,1,22419,22330,MACAU,Presidente,16862,16862,0.7551276309897,MACAU,0.0440251572327044,0.509969222534457
RS,85812,CANDELÁRIA,13,2,22443,22402,CANDELÁRIA,Presidente,17573,17573,0.784438889384876,CANDELÁRIA,0.0644298890522657,0.601657532415453
PE,25313,RECIFE,6,1,108087,107929,RECIFE,Presidente,88268,88268,0.817833946390683,RECIFE,0.101723611535152,0.33250992256238
PE,23370,BEZERROS,35,1,46509,46442,BEZERROS,Presidente,37066,37066,0.798113776323156,BEZERROS,0.0548065965727064,0.564944419359694
RS,88595,SANTO AUGUSTO,107,1,11248,11212,SANTO AUGUSTO,Presidente,8925,8925,0.796022119158045,SANTO AUGUSTO,0.11548719772404,0.483997155049787
TO,94692,MONTE DO CARMO,3,2,4599,4602,MONTE DO CARMO,Presidente,3480,3480,0.75619295958279,MONTE DO CARMO,0.0789302022178735,0.511850402261361
MA,9512,VITÓRIA DO MEARIM,41,1,26802,26746,VITÓRIA DO MEARIM,Presidente,17798,17798,0.66544530023181,VITÓRIA DO MEARIM,0.0352958734422804,0.565442877397209
MS,91847,PARANHOS,1,2,8598,8587,PARANHOS,Presidente,5683,5683,0.661814370560149,PARANHOS,0.0538497324959293,0.68574086996976
DF,97012,BRASÍLIA,6,2,136323,136556,BRASÍLIA,Presidente,108342,108342,0.793388792876183,BRASÍLIA,0.0823485398648797,0.349266081292225
GO,92312,ARAÇU,57,1,4008,4004,ARAÇU,Presidente,3212,3212,0.802197802197802,ARAÇU,0.092814371257485,0.469061876247505
SC,80748,BELMONTE,45,1,2404,2404,BELMONTE,Presidente,1927,1927,0.801580698835275,BELMONTE,0.089018302828619,0.533277870216306
MS,90751,FÁTIMA DO SUL,4,2,16563,16528,FÁTIMA DO SUL,Presidente,12509,12509,0.756836882865441,FÁTIMA DO SUL,0.0960574775101129,0.486143814526354
PR,76678,LONDRINA,146,2,96847,97325,LONDRINA,Presidente,76651,76651,0.787577703570511,LONDRINA,0.226573874255269,0.289312007599616
RS,88013,PORTO ALEGRE,159,1,108245,108644,PORTO ALEGRE,Presidente,79831,79831,0.734794374286661,PORTO ALEGRE,0.0435863088364359,0.43798789782438
GO,92657,BELA VISTA DE GOIÁS,32,2,23292,23264,BELA VISTA DE GOIÁS,Presidente,17356,17356,0.746045392022008,BELA VISTA DE GOIÁS,0.0824317362184441,0.442426584234931
GO,93262,BURITINÓPOLIS,123,2,3434,3428,BURITINÓPOLIS,Presidente,2342,2342,0.683197199533256,BURITINÓPOLIS,0.0445544554455446,0.519219569015725
RN,16594,CRUZETA,22,1,6805,6773,CRUZETA,Presidente,5226,5226,0.771593090211132,CRUZETA,0.0570168993387215,0.500955180014695
PI,12211,UNIÃO,16,1,35687,35684,UNIÃO,Presidente,29026,29026,0.813417778275978,UNIÃO,0.0506066634909071,0.547117998150587
RJ,60011,RIO DE JANEIRO,10,1,87452,87288,RIO DE JANEIRO,Presidente,62147,62147,0.711976445788654,RIO DE JANEIRO,0.0821364863010566,0.334880848922838
DF,97012,BRASÍLIA,21,2,114573,114761,BRASÍLIA,Presidente,90818,90818,0.791366404963359,BRASÍLIA,0.0679392177912772,0.322466898833058
PE,26018,TEREZINHA,61,1,6645,6639,TEREZINHA,Presidente,4694,4694,0.70703419189637,TEREZINHA,0.036568848758465,0.665763732129421
MG,44598,DORES DE CAMPOS,228,2,7823,7812,DORES DE CAMPOS,Presidente,6469,6469,0.828084997439836,DORES DE CAMPOS,0.0250543269845328,0.591461076313435
DF,97012,BRASÍLIA,20,2,78878,79049,BRASÍLIA,Presidente,63716,63716,0.806031701855811,BRASÍLIA,0.103146631506884,0.270557062805852
RJ,58874,RIO CLARO,108,1,15739,15709,RIO CLARO,Presidente,11593,11593,0.737984594818257,RIO CLARO,0.0772603087870894,0.499587013152043
MA,8770,PORTO FRANCO,46,1,17576,17557,PORTO FRANCO,Presidente,13794,13794,0.785669533519394,PORTO FRANCO,0.0862539827036868,0.43491124260355
PE,24112,FLORES,67,1,16264,16229,FLORES,Presidente,11846,11846,0.729927906833446,FLORES,0.0395351696999508,0.620388588293163
BA,36773,LAJE,109,2,20497,20479,LAJE,Presidente,15272,15272,0.745739538063382,LAJE,0.0348831536322389,0.605893545396887
RS,86355,ENCRUZILHADA DO SUL,19,2,18851,18804,ENCRUZILHADA DO SUL,Presidente,14253,14253,0.757977026164646,ENCRUZILHADA DO SUL,0.0718794758898732,0.590790939472707
GO,94137,ITAPACI,39,1,15440,15406,ITAPACI,Presidente,11428,11428,0.74178891341036,ITAPACI,0.0961139896373057,0.429274611398964
MG,49212,OURO PRETO,200,1,63712,63593,OURO PRETO,Presidente,48979,48979,0.770194832764612,OURO PRETO,0.0735497237569061,0.432618658965344
PR,75973,IMBITUVA,29,1,23288,23269,IMBITUVA,Presidente,18544,18544,0.796940134943487,IMBITUVA,0.0545345242184816,0.597518035039505
GO,95877,SANTA TEREZA DE GOIÁS,125,2,3179,3168,SANTA TEREZA DE GOIÁS,Presidente,2315,2315,0.73074494949495,SANTA TEREZA DE GOIÁS,0.0805284680717207,0.523435042466184
PR,79375,UNIÃO DA VITÓRIA,33,2,40445,40368,UNIÃO DA VITÓRIA,Presidente,31149,31149,0.771626040428062,UNIÃO DA VITÓRIA,0.148127086166399,0.353096798120905
BA,37052,MALHADA,125,2,14017,13979,MALHADA,Presidente,10101,10101,0.722583875813721,MALHADA,0.0343154740672041,0.587072840122708
RJ,58041,BELFORD ROXO,155,1,83307,83229,BELFORD ROXO,Presidente,62703,62703,0.753379230796958,BELFORD ROXO,0.0127000132041725,0.53425282389235
RN,16810,GOIANINHA,9,1,21049,21044,GOIANINHA,Presidente,16449,16449,0.781647975670025,GOIANINHA,0.0468430804313744,0.5445864411611
PE,24775,LIMOEIRO,24,2,44559,44544,LIMOEIRO,Presidente,35324,35324,0.793013649425287,LIMOEIRO,0.0734756165982181,0.45979487870015
SP,62057,BARRA BONITA,200,2,30177,30112,BARRA BONITA,Presidente,22342,22342,0.741963336875664,BARRA BONITA,0.158398780528217,0.352718958146933
BA,37591,NOVA SOURE,79,1,21686,21647,NOVA SOURE,Presidente,15129,15129,0.698895920912829,NOVA SOURE,0.036336807156691,0.620492483629992
SP,69191,PRADÓPOLIS,197,2,13892,13884,PRADÓPOLIS,Presidente,10393,10393,0.748559492941515,PRADÓPOLIS,0.11438237834725,0.399870429023899
AL,27111,BARRA DE SÃO MIGUEL,26,1,7332,7322,BARRA DE SÃO MIGUEL,Presidente,5905,5905,0.806473641081672,BARRA DE SÃO MIGUEL,0.100245499181669,0.503682487725041
MA,8290,MATINHA,86,2,18964,18929,MATINHA,Presidente,14390,14390,0.760209202810502,MATINHA,0.0331153765028475,0.471314068761865
PA,4022,TAILÂNDIA,93,2,52878,52835,TAILÂNDIA,Presidente,38875,38875,0.735781205640201,TAILÂNDIA,0.0394492983849616,0.602216422708877
RS,98299,JÓIA,155,2,6162,6157,JÓIA,Presidente,5128,5128,0.832873152509339,JÓIA,0.0670236936059721,0.590879584550471
RN,16730,FELIPE GUERRA,45,1,6687,6660,FELIPE GUERRA,Presidente,5688,5688,0.854054054054054,FELIPE GUERRA,0.0684911021384776,0.501719754748019
RO,612,GOVERNADOR JORGE TEIXEIRA,27,2,7384,7422,GOVERNADOR JORGE TEIXEIRA,Presidente,5165,5165,0.695904068984101,GOVERNADOR JORGE TEIXEIRA,0.0549837486457205,0.634344528710726
SE,31070,ARAUÁ,4,2,9356,9366,ARAUÁ,Presidente,7062,7062,0.754003843689942,ARAUÁ,0.0350577169730654,0.585934159897392
MG,46736,ITATIAIUÇU,140,1,10523,10516,ITATIAIUÇU,Presidente,7780,7780,0.739825028527957,ITATIAIUÇU,0.0378219139028794,0.543096075263708
RS,85995,CAXIAS DO SUL,136,2,112462,113019,CAXIAS DO SUL,Presidente,88461,88461,0.782709102009397,CAXIAS DO SUL,0.161868008749622,0.323495936405186
SE,32131,PROPRIÁ,19,1,19809,19722,PROPRIÁ,Presidente,15366,15366,0.779129905689078,PROPRIÁ,0.0714826593972437,0.440557322429199
SP,70173,SANTA BÁRBARA D'OESTE,186,1,146207,146265,SANTA BÁRBARA D OESTE,Presidente,109905,109905,0.751410111783407,SANTA BÁRBARA D'OESTE,0.129679153528901,0.355372861764485
SC,80276,ARARANGUÁ,1,2,52898,52833,ARARANGUÁ,Presidente,41153,41153,0.778926050006625,ARARANGUÁ,0.114144202049227,0.401149381829181
CE,13064,GRAÇA,79,1,13445,13404,GRAÇA,Presidente,9151,9151,0.682706654729931,GRAÇA,0.0388248419486798,0.634510970621049
AC,1457,SENA MADUREIRA,3,1,30369,30309,SENA MADUREIRA,Presidente,21786,21786,0.718796397109769,SENA MADUREIRA,0.057262339886068,0.587836280417531
SC,80950,DESCANSO,45,2,7026,7016,DESCANSO,Presidente,5876,5876,0.83751425313569,DESCANSO,0.0832621690862511,0.514232849416453
MT,89877,ALTA FLORESTA,24,2,41569,41463,ALTA FLORESTA,Presidente,31295,31295,0.754769312399006,ALTA FLORESTA,0.115590945175491,0.431186701628618
AM,2232,CAREIRO,23,1,24256,24216,CAREIRO,Presidente,17050,17050,0.704079947142385,CAREIRO,0.0451022427440633,0.529436015831135
GO,93076,CERES,72,1,16360,16314,CERES,Presidente,13159,13159,0.806607821503004,CERES,0.175611246943765,0.320171149144254
MG,48470,MOEMA,45,2,6692,6684,MOEMA,Presidente,5080,5080,0.760023937761819,MOEMA,0.0524506873879259,0.498804542737597
GO,92894,CALDAS NOVAS,7,2,65613,65471,CALDAS NOVAS,Presidente,47954,47954,0.732446426662186,CALDAS NOVAS,0.109383811134989,0.366482251992745
PR,74390,ASTORGA,67,2,20862,20834,ASTORGA,Presidente,16157,16157,0.775511183642124,ASTORGA,0.131195475026364,0.436487393346755
BA,37133,MARAGOGIPE,118,1,35052,34987,MARAGOGIPE,Presidente,26699,26699,0.763112013033412,MARAGOGIPE,0.0281866940545475,0.535661303206664
MA,8532,PARAIBANO,53,2,14531,14491,PARAIBANO,Presidente,10690,10690,0.737699261610655,PARAIBANO,0.0426674007294749,0.652467139219599
ES,57932,SANTA MARIA DE JETIBÁ,9,2,30247,30216,SANTA MARIA DE JETIBÁ,Presidente,23717,23717,0.784915276674609,SANTA MARIA DE JETIBÁ,0.0302509339769233,0.677554798823024
PR,74934,CASCAVEL,68,2,125004,125771,CASCAVEL,Presidente,100829,100829,0.801687193391163,CASCAVEL,0.185714057150171,0.291278679082269
SP,62618,BURI,53,2,15845,15829,BURI,Presidente,11514,11514,0.727399077642302,BURI,0.0726412117387188,0.513032502366677
PI,11118,LANDRI SALES,46,2,4614,4600,LANDRI SALES,Presidente,3335,3335,0.725,LANDRI SALES,0.0639358474208929,0.607715648027742
SP,69434,RAFARD,38,2,7420,7412,RAFARD,Presidente,5745,5745,0.775094441446303,RAFARD,0.113072776280323,0.407816711590297
MG,51098,RIO PARANAÍBA,254,2,11093,11073,RIO PARANAÍBA,Presidente,8022,8022,0.724464914657275,RIO PARANAÍBA,0.0963670783376904,0.553321914720995
GO,92010,ABADIÂNIA,87,1,10831,10813,ABADIÂNIA,Presidente,8380,8380,0.774993063904559,ABADIÂNIA,0.105899732250023,0.45397470224356
ES,56278,CASTELO,3,2,29404,29344,CASTELO,Presidente,22558,22558,0.768743184296619,CASTELO,0.0848524010338729,0.494320500612162
MG,40789,SÃO JOSÉ DA LAPA,311,1,19696,19682,SÃO JOSÉ DA LAPA,Presidente,15425,15425,0.783711004979169,SÃO JOSÉ DA LAPA,0.0874796913078798,0.394699431356621
MA,7978,HUMBERTO DE CAMPOS,32,1,23822,23768,HUMBERTO DE CAMPOS,Presidente,16928,16928,0.712218108381017,HUMBERTO DE CAMPOS,0.0354294349760725,0.579842162706742
MG,40533,CACHOEIRA DE PAJEÚ,213,2,7133,7121,CACHOEIRA DE PAJEÚ,Presidente,4957,4957,0.696110096896503,CACHOEIRA DE PAJEÚ,0.0178045703070237,0.638721435581102
GO,93734,GOIÂNIA,134,2,117707,118082,GOIÂNIA,Presidente,91307,91307,0.773250791822632,GOIÂNIA,0.0899691607126169,0.303618306472852
MS,90158,ANAURILÂNDIA,6,2,6229,6226,ANAURILÂNDIA,Presidente,4405,4405,0.707516864760681,ANAURILÂNDIA,0.090062610370846,0.559319312891315
PI,10421,QUEIMADA NOVA,38,1,6782,6776,QUEIMADA NOVA,Presidente,5631,5631,0.831021251475797,QUEIMADA NOVA,0.0250663521085226,0.659245060454143
MG,46450,ITAIPÉ,196,1,9296,9285,ITAIPÉ,Presidente,5633,5633,0.606677436725902,ITAIPÉ,0.0274311531841652,0.640275387263339
TO,73466,OLIVEIRA DE FÁTIMA,13,1,1587,1586,OLIVEIRA DE FÁTIMA,Presidente,1190,1190,0.75031525851198,OLIVEIRA DE FÁTIMA,0.0623818525519849,0.459987397605545
PR,75345,FERNANDES PINHEIRO,53,2,5357,5351,FERNANDES PINHEIRO,Presidente,4387,4387,0.819846757615399,FERNANDES PINHEIRO,0.0427478066081762,0.583162217659138
PE,25313,RECIFE,1,1,114912,114336,RECIFE,Presidente,92357,92357,0.807768331933949,RECIFE,0.274549220272904,0.209864940128098
SC,81698,JABORÁ,18,2,3803,3800,JABORÁ,Presidente,3237,3237,0.851842105263158,JABORÁ,0.120168288193531,0.528793058112017
AL,28592,SANTANA DO IPANEMA,19,2,32098,32037,SANTANA DO IPANEMA,Presidente,23084,23084,0.720541873458813,SANTANA DO IPANEMA,0.0347373668141317,0.61689201819428
MA,7552,CARUTAPERA,55,1,19099,19067,CARUTAPERA,Presidente,13618,13618,0.714218282897152,CARUTAPERA,0.0462851458191528,0.555264673543118
PI,11096,JOSÉ DE FREITAS,24,2,33196,33179,JOSÉ DE FREITAS,Presidente,27441,27441,0.827059284487176,JOSÉ DE FREITAS,0.0436197132184601,0.532624412579829
PE,26255,VICÊNCIA,90,2,22126,22096,VICÊNCIA,Presidente,16250,16250,0.735427226647357,VICÊNCIA,0.0335804031456205,0.578278947844165
SP,62715,CAÇAPAVA,29,1,74893,74797,CAÇAPAVA,Presidente,55481,55481,0.741754348436435,CAÇAPAVA,0.142563390437023,0.305796269344264
CE,13838,CRATEÚS,20,1,57514,57347,CRATEÚS,Presidente,44677,44677,0.779064292813922,CRATEÚS,0.0533261466773307,0.527541120422854
PI,10693,ELESBÃO VELOSO,48,2,12733,12705,ELESBÃO VELOSO,Presidente,9215,9215,0.725304998032271,ELESBÃO VELOSO,0.077279509934815,0.600015707217466
GO,95559,PORANGATU,55,2,31009,30949,PORANGATU,Presidente,23298,23298,0.752786842870529,PORANGATU,0.126253668289851,0.419104131058725
PA,4448,BREU BRANCO,103,1,33469,33420,BREU BRANCO,Presidente,22608,22608,0.676481149012567,BREU BRANCO,0.0377065344049718,0.616480922644836
MG,52876,SÃO SEBASTIÃO DA BELA VISTA,248,1,5708,5697,SÃO SEBASTIÃO DA BELA VISTA,Presidente,4340,4340,0.761804458486923,SÃO SEBASTIÃO DA BELA VISTA,0.0327610371408549,0.563244569025929
PR,74861,SÃO PEDRO DO IGUAÇU,148,1,5048,5042,SÃO PEDRO DO IGUAÇU,Presidente,3870,3870,0.767552558508528,SÃO PEDRO DO IGUAÇU,0.0618066561014263,0.546949286846276
BA,33995,CACULÉ,93,2,18044,17985,CACULÉ,Presidente,13777,13777,0.766027244926328,CACULÉ,0.0596874307248947,0.539071159388162
SP,71072,SÃO PAULO,373,1,133894,133832,SÃO PAULO,Presidente,98924,98924,0.739165520951641,SÃO PAULO,0.0697641417837991,0.375744992307348
MG,52337,SÃO GONÇALO DO ABAETÉ,210,2,5255,5239,SÃO GONÇALO DO ABAETÉ,Presidente,3978,3978,0.759305210918114,SÃO GONÇALO DO ABAETÉ,0.0397716460513796,0.531874405328259
CE,15598,SOBRAL,24,2,84528,84583,SOBRAL,Presidente,68347,68347,0.808046534173534,SOBRAL,0.0570935074768124,0.368635245125875
PR,76899,MARILUZ,86,2,8167,8161,MARILUZ,Presidente,6210,6210,0.76093615978434,MARILUZ,0.0721195053263132,0.566180972205216
SP,71072,SÃO PAULO,6,2,166901,167645,SÃO PAULO,Presidente,121739,121739,0.726171374034418,SÃO PAULO,0.429374299734573,0.128291621979497
RJ,58971,SÃO GONÇALO,69,2,82978,82915,SÃO GONÇALO,Presidente,62997,62997,0.759778085991678,SÃO GONÇALO,0.0285738388488515,0.463496348429704
SP,66850,MARTINÓPOLIS,71,2,17960,17922,MARTINÓPOLIS,Presidente,14064,14064,0.784733846668899,MARTINÓPOLIS,0.123775055679287,0.371046770601336
SP,71072,SÃO PAULO,405,1,109503,109429,SÃO PAULO,Presidente,80683,80683,0.737309122810224,SÃO PAULO,0.0821986612238934,0.308804324995662
MS,90638,CORUMBÁ,50,2,24884,24765,CORUMBÁ,Presidente,17279,17279,0.697718554411468,CORUMBÁ,0.127632213470503,0.396117987461823
SC,82155,MONDAÍ,41,1,7683,7679,MONDAÍ,Presidente,6122,6122,0.797239223857273,MONDAÍ,0.108551347130027,0.442405310425615
PE,23027,LAGOA DO CARRO,20,2,14340,14319,LAGOA DO CARRO,Presidente,11844,11844,0.827152734129478,LAGOA DO CARRO,0.0474198047419805,0.516248256624826
MG,41041,MARTINS SOARES,168,2,7781,7772,MARTINS SOARES,Presidente,6030,6030,0.775862068965517,MARTINS SOARES,0.0206914278370389,0.651073126847449
PE,24139,FLORESTA,72,1,23986,23829,FLORESTA,Presidente,18118,18118,0.760334046749759,FLORESTA,0.0334361710998082,0.555407320937213
SP,62278,BILAC,210,1,6438,6407,BILAC,Presidente,4768,4768,0.744186046511628,BILAC,0.153929791860826,0.382416899658279
MG,42854,CARMO DO PARANAÍBA,76,1,22807,22761,CARMO DO PARANAÍBA,Presidente,15820,15820,0.695048547954835,CARMO DO PARANAÍBA,0.0749331345639497,0.528478098829307
SP,70556,SANTO ANASTÁCIO,117,1,15310,15266,SANTO ANASTÁCIO,Presidente,11357,11357,0.743940783440325,SANTO ANASTÁCIO,0.147681254082299,0.353821032005225
MG,41815,BUENO BRANDÃO,183,2,8908,8894,BUENO BRANDÃO,Presidente,6715,6715,0.75500337306049,BUENO BRANDÃO,0.0744274809160305,0.631230354737315
SC,81655,ITAPIRANGA,65,1,12358,12338,ITAPIRANGA,Presidente,9891,9891,0.801669638515156,ITAPIRANGA,0.132950315585046,0.430652209095323
MG,45497,GONZAGA,3,2,4875,4874,GONZAGA,Presidente,3028,3028,0.621255642183012,GONZAGA,0.0291282051282051,0.604923076923077
MS,91235,NOVA ANDRADINA,5,2,34908,34830,NOVA ANDRADINA,Presidente,25008,25008,0.718001722652885,NOVA ANDRADINA,0.0912971238684542,0.497966082273404
BA,35653,IBOTIRAMA,173,1,21308,21241,IBOTIRAMA,Presidente,15915,15915,0.749258509486371,IBOTIRAMA,0.0556598460672048,0.530880420499343
GO,95230,PARAÚNA,43,2,8981,8974,PARAÚNA,Presidente,6669,6669,0.743146868731892,PARAÚNA,0.114797906691905,0.476895668633782
RJ,58122,QUEIMADOS,138,2,94389,94270,QUEIMADOS,Presidente,77284,77284,0.819815423782752,QUEIMADOS,0.0612465435591012,0.376315036709786
CE,13536,CAMPOS SALES,38,2,21491,21437,CAMPOS SALES,Presidente,15284,15284,0.712972897327051,CAMPOS SALES,0.0568610115862454,0.606765622818854
AL,28576,SANTA LUZIA DO NORTE,8,2,6101,6090,SANTA LUZIA DO NORTE,Presidente,4612,4612,0.757307060755337,SANTA LUZIA DO NORTE,0.0426159645959679,0.540731027700377
SE,31976,PACATUBA,15,1,11627,11630,PACATUBA,Presidente,8313,8313,0.714789337919175,PACATUBA,0.0487658037326912,0.602821020039563
CE,14630,MAURITI,76,2,34378,34305,MAURITI,Presidente,27079,27079,0.789360151581402,MAURITI,0.0600383966490197,0.532782593519111
RJ,58750,PARATY,57,2,32746,32618,PARATY,Presidente,24415,24415,0.748513090931388,PARATY,0.0764673547914249,0.510993709155317
MT,91090,VILA BELA DA SANTÍSSIMA TRINDADE,25,1,10521,10521,VILA BELA DA SANTÍSSIMA TRINDADE,Presidente,7550,7550,0.717612394259101,VILA BELA DA SANTÍSSIMA TRINDADE,0.0396350156829199,0.590438171276495
PR,78735,SÃO JOÃO DO CAIUÁ,87,2,4854,4855,SÃO JOÃO DO CAIUÁ,Presidente,3714,3714,0.764984552008239,SÃO JOÃO DO CAIUÁ,0.07704985578904,0.536052740008241
RN,16497,CARNAUBAIS,47,2,8721,8718,CARNAUBAIS,Presidente,6942,6942,0.796283551273228,CARNAUBAIS,0.0345143905515423,0.569315445476436
MT,89796,COLÍDER,23,2,24047,24013,COLÍDER,Presidente,18118,18118,0.754507974846958,COLÍDER,0.110076100968936,0.475277581403086
MA,7706,ITAIPAVA DO GRAJAÚ,15,2,9900,9885,ITAIPAVA DO GRAJAÚ,Presidente,7503,7503,0.759028831562974,ITAIPAVA DO GRAJAÚ,0.0406060606060606,0.627373737373737
GO,92762,TERESINA DE GOIÁS,99,1,2731,2714,TERESINA DE GOIÁS,Presidente,1906,1906,0.702284450994842,TERESINA DE GOIÁS,0.0765287440497986,0.457341633101428
SP,71196,SÃO SIMÃO,133,1,12124,12089,SÃO SIMÃO,Presidente,8627,8627,0.713623955662172,SÃO SIMÃO,0.132299571098647,0.351946552292973
PI,10790,FRANCINÓPOLIS,48,2,4360,4344,FRANCINÓPOLIS,Presidente,3176,3176,0.731123388581952,FRANCINÓPOLIS,0.0227064220183486,0.683715596330275
SP,71072,SÃO PAULO,326,2,109946,109963,SÃO PAULO,Presidente,81771,81771,0.743622854960305,SÃO PAULO,0.0828588579848289,0.341276626707657
SC,81442,PAIAL,94,2,1940,1937,PAIAL,Presidente,1569,1569,0.810015487867837,PAIAL,0.0938144329896907,0.515463917525773
PR,79618,INDIANÓPOLIS,149,1,3825,3823,INDIANÓPOLIS,Presidente,2933,2933,0.767198535181794,INDIANÓPOLIS,0.0909803921568627,0.461960784313726
MA,7439,BURITI BRAVO,44,2,18870,18829,BURITI BRAVO,Presidente,12797,12797,0.679643103722981,BURITI BRAVO,0.0411234764175941,0.604822469528352
RS,88200,CAPIVARI DO SUL,156,1,3709,3702,CAPIVARI DO SUL,Presidente,2920,2920,0.788762830902215,CAPIVARI DO SUL,0.0940954435157724,0.460771097330817
MG,47856,MANGA,166,2,16200,16168,MANGA,Presidente,11054,11054,0.683696190004948,MANGA,0.0374691358024691,0.57320987654321
PR,75019,CERRO AZUL,7,1,13224,13220,CERRO AZUL,Presidente,10112,10112,0.764901664145235,CERRO AZUL,0.0423472474289171,0.627571082879613
PR,78239,RIO NEGRO,11,1,23918,23887,RIO NEGRO,Presidente,18506,18506,0.774731025243857,RIO NEGRO,0.127477213813864,0.366460406388494
GO,96539,NOVA CRIXÁS,110,2,9084,9063,NOVA CRIXÁS,Presidente,6344,6344,0.699988966126007,NOVA CRIXÁS,0.0566930867459269,0.588066930867459
BA,35416,IBICARAÍ,29,2,19397,19347,IBICARAÍ,Presidente,13678,13678,0.706982994779552,IBICARAÍ,0.0748569366396866,0.538949322060112
RS,88552,SANTO ANTÔNIO DA PATRULHA,46,2,34058,34023,SANTO ANTÔNIO DA PATRULHA,Presidente,25614,25614,0.752843664579843,SANTO ANTÔNIO DA PATRULHA,0.0827705678548359,0.515502965529391
MG,49530,PASSA TEMPO,208,2,7647,7635,PASSA TEMPO,Presidente,5583,5583,0.731237721021611,PASSA TEMPO,0.096769975153655,0.525957891983785
SP,68659,ESPÍRITO SANTO DO PINHAL,91,2,33828,33761,ESPÍRITO SANTO DO PINHAL,Presidente,23752,23752,0.703533663102396,ESPÍRITO SANTO DO PINHAL,0.160044933191439,0.402861534823223
PA,4553,CURRALINHO,86,1,23461,23420,CURRALINHO,Presidente,18253,18253,0.779376601195559,CURRALINHO,0.0342696389753207,0.658923319551596
CE,13730,CAUCAIA,37,2,90164,90427,CAUCAIA,Presidente,74413,74413,0.822906875158968,CAUCAIA,0.0746750365999734,0.401989707643849
MA,8320,SÃO JOÃO DO PARAÍSO,46,1,8760,8747,SÃO JOÃO DO PARAÍSO,Presidente,6547,6547,0.748485194923974,SÃO JOÃO DO PARAÍSO,0.0452054794520548,0.586073059360731
SP,62995,CANANÉIA,36,2,9977,9934,CANANÉIA,Presidente,7247,7247,0.729514797664586,CANANÉIA,0.114864187631553,0.376365640974241
