SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_ZONA,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
SC,83950,CORREIA PINTO,93,1,11889,11866,CORREIA PINTO,Presidente,9584,9584,0.807685825046351,CORREIA PINTO,0.0471023635293128,0.525023130624947
PE,25313,RECIFE,6,2,108087,107941,RECIFE,Presidente,88220,88220,0.817298338907366,RECIFE,0.101723611535152,0.33250992256238
MG,46337,ITABIRA,132,2,91280,91115,ITABIRA,Presidente,71230,71230,0.781759315151183,ITABIRA,0.115392199824715,0.367725679228747
BA,33693,BELO CAMPO,177,2,16477,16443,BELO CAMPO,Presidente,11717,11717,0.712582862008149,BELO CAMPO,0.0433331310311343,0.645627237968077
RS,87050,IJUÍ,23,1,65021,64805,IJUÍ,Presidente,51335,51335,0.792145667772549,IJUÍ,0.148198274403654,0.394195721382323
TO,94633,MIRANORTE,28,2,9741,9715,MIRANORTE,Presidente,7535,7535,0.77560473494596,MIRANORTE,0.0749409711528591,0.474283954419464
CE,14095,ICÓ,15,1,49185,49051,ICÓ,Presidente,37406,37406,0.762594034780127,ICÓ,0.0552607502287283,0.583368913286571
CE,13897,FORTALEZA,115,1,112808,113109,FORTALEZA,Presidente,91490,91490,0.808865784331928,FORTALEZA,0.139413871356641,0.309082689170981
CE,15555,SENADOR POMPEU,12,2,21413,21359,SENADOR POMPEU,Presidente,16132,16132,0.755278805187509,SENADOR POMPEU,0.0568813337692056,0.573623499743147
SP,66397,LIMEIRA,399,2,113340,113409,LIMEIRA,Presidente,87183,87183,0.768748512022855,LIMEIRA,0.128039527086642,0.33598905946709
PB,21172,PATOS,28,2,66980,66702,PATOS,Presidente,51970,51970,0.779137057359599,PATOS,0.105927142430576,0.420946551209316
RN,16438,CANGUARETAMA,11,1,24006,23998,CANGUARETAMA,Presidente,18296,18296,0.762396866405534,CANGUARETAMA,0.0476964092310256,0.58602016162626
RJ,60011,RIO DE JANEIRO,176,2,94607,94491,RIO DE JANEIRO,Presidente,69328,69328,0.733699505773037,RIO DE JANEIRO,0.0557358335006923,0.398067796251863
RJ,58718,PARACAMBI,70,1,33968,33888,PARACAMBI,Presidente,25677,25677,0.757701841359773,PARACAMBI,0.0419512482336317,0.466703956665097
CE,13250,ARARIPE,68,1,18199,18153,ARARIPE,Presidente,12778,12778,0.703905690519473,ARARIPE,0.0488488378482334,0.650200560470355
MG,41033,BANDEIRA,9,1,4558,4539,BANDEIRA,Presidente,2978,2978,0.656091650143203,BANDEIRA,0.0401491882404563,0.662132514260641
MG,50415,PONTE NOVA,224,1,44823,44716,PONTE NOVA,Presidente,34505,34505,0.771647732355309,PONTE NOVA,0.0942819534613926,0.447359614483636
SC,83275,SÃO JOSÉ,84,2,90538,91208,SÃO JOSÉ,Presidente,72066,72066,0.790128058942198,SÃO JOSÉ,0.1705250833904,0.252148269235017
AM,2550,MANAUS,62,1,133418,133951,MANAUS,Presidente,108326,108326,0.808698703257161,MANAUS,0.108613530408191,0.265174114437332
MG,48534,MONTALVÂNIA,342,1,13113,13064,MONTALVÂNIA,Presidente,8510,8510,0.651408450704225,MONTALVÂNIA,0.0283687943262411,0.616945016395943
PA,5452,SÃO FÉLIX DO XINGU,53,1,42870,42814,SÃO FÉLIX DO XINGU,Presidente,29654,29654,0.692623908067455,SÃO FÉLIX DO XINGU,0.0450664800559832,0.653743876836949
PR,76910,MARINGÁ,137,1,96823,96614,MARINGÁ,Presidente,73948,73948,0.765396319374004,MARINGÁ,0.141619243361598,0.299319376594404
RN,17590,MOSSORÓ,33,1,98367,98519,MOSSORÓ,Presidente,77314,77314,0.784762330108913,MOSSORÓ,0.116705805808859,0.372106499130806
BA,39756,MAETINGA,161,1,7289,7264,MAETINGA,Presidente,4481,4481,0.616877753303965,MAETINGA,0.0326519412813829,0.697626560570723
PB,19810,CAMPINA GRANDE,17,2,119492,119988,CAMPINA GRANDE,Presidente,97296,97296,0.810881088108811,CAMPINA GRANDE,0.127506443946038,0.349312087838516
