SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
MA,9318,SUCUPIRA DO NORTE,2,8432,8412,SUCUPIRA DO NORTE,Presidente,5825,,0.690820683111955,SUCUPIRA DO NORTE,0.0109108159392789,0.707661290322581
RJ,58637,NILÓPOLIS,1,133274,133191,NILÓPOLIS,Presidente,97390,,0.730750183831805,NILÓPOLIS,0.0449975238981347,0.421710161021655
SP,62693,CABREÚVA,1,33381,33369,CABREÚVA,Presidente,23299,,0.697971900182739,CABREÚVA,0.0282196459063539,0.509870884634972
SC,80969,VARGEM BONITA,2,4118,4115,VARGEM BONITA,Presidente,3086,,0.749392909179213,VARGEM BONITA,0.0480815930063138,0.538368139873725
MT,99058,GUARANTÃ DO NORTE,1,21406,21416,GUARANTÃ DO NORTE,Presidente,14123,,0.659768289264692,GUARANTÃ DO NORTE,0.0349434737923947,0.63687751097823
MS,90859,IGUATEMI,1,10536,10533,IGUATEMI,Presidente,6967,,0.661256643887623,IGUATEMI,0.0357820804859529,0.671697038724374
RJ,58467,MESQUITA,1,135124,135063,MESQUITA,Presidente,96810,,0.716453035730144,MESQUITA,0.0264867825108789,0.496810337171783
RJ,58149,JAPERI,2,73693,73653,JAPERI,Presidente,48156,,0.653467764916614,JAPERI,0.0105844517118315,0.64003365312852
SP,62456,BORACÉIA,1,3705,3703,BORACÉIA,Presidente,2640,,0.712550607287449,BORACÉIA,0.0364372469635628,0.556275303643725
CE,14753,MORADA NOVA,1,50696,50692,MORADA NOVA,Presidente,40346,,0.795841881016254,MORADA NOVA,0.0614249644942402,0.593656304244911
RJ,58793,PIRAÍ,2,22456,22452,PIRAÍ,Presidente,15119,,0.673272176701104,PIRAÍ,0.0343783398646242,0.566262914143213
