SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
PA,4979,MUANÁ,2,24199,24193,MUANÁ,Presidente,16563,,0.68444977065168,MUANÁ,0.0111161618248688,0.773461713293938
PE,23477,BREJÃO,2,8752,8762,BREJÃO,Presidente,6970,,0.796389396709324,BREJÃO,0.0425045703839122,0.650708409506399
PR,75337,CRUZ MACHADO,1,13092,13091,CRUZ MACHADO,Presidente,10430,,0.796669721967614,CRUZ MACHADO,0.051940116101436,0.612205927283838
SP,69175,POTIRENDABA,2,12657,12654,POTIRENDABA,Presidente,8651,,0.683495299044007,POTIRENDABA,0.0451133759974718,0.538674251402386
RN,16330,BOM JESUS,2,7717,6232,BOM JESUS,Presidente,5610,,0.726966437734871,BOM JESUS,0.0370610340806013,0.629778411299728
BA,34037,CAETITÉ,1,39487,39473,CAETITÉ,Presidente,28180,,0.71365259452478,CAETITÉ,0.0264644060070403,0.698660318585864
SP,65951,JAGUARIÚNA,2,39517,39496,JAGUARIÚNA,Presidente,27434,,0.694232861806311,JAGUARIÚNA,0.0989447579522737,0.380216109522484
RN,16594,CRUZETA,1,6608,6606,CRUZETA,Presidente,4693,,0.710199757869249,CRUZETA,0.0581113801452785,0.536168280871671
RS,86673,FREDERICO WESTPHALEN,1,25128,25073,FREDERICO WESTPHALEN,Presidente,18923,,0.753064310729067,FREDERICO WESTPHALEN,0.0858802929003502,0.486509073543458
PR,75817,GUARANIAÇU,2,11148,11143,GUARANIAÇU,Presidente,8506,,0.763006817366344,GUARANIAÇU,0.0806422676713312,0.569698600645856
PR,78638,SANTO ANTÔNIO DO PARAÍSO,2,2026,2026,SANTO ANTÔNIO DO PARAÍSO,Presidente,1607,,0.793188548864758,SANTO ANTÔNIO DO PARAÍSO,0.114017769002962,0.456564659427443
RS,86290,DOM PEDRITO,1,30099,30060,DOM PEDRITO,Presidente,20787,,0.690620950862155,DOM PEDRITO,0.05249343832021,0.570317950762484
BA,39390,UAUÁ,2,21072,21065,UAUÁ,Presidente,14427,,0.684652619589977,UAUÁ,0.0118166287015945,0.674781700835232
PR,76791,MANDIRITUBA,2,17727,17726,MANDIRITUBA,Presidente,13670,,0.771140068821572,MANDIRITUBA,0.0534213346872003,0.53720313645851
MG,40290,ALÉM PARAÍBA,1,28486,28465,ALÉM PARAÍBA,Presidente,20062,,0.704275784595942,ALÉM PARAÍBA,0.073790633995647,0.516990802499473
MS,90190,APARECIDA DO TABOADO,2,18314,18310,APARECIDA DO TABOADO,Presidente,11425,,0.623839685486513,APARECIDA DO TABOADO,0.0685814131265698,0.571802992246369
RS,85650,CAIBATÉ,1,3925,3922,CAIBATÉ,Presidente,3178,,0.80968152866242,CAIBATÉ,0.0884076433121019,0.571464968152866
AL,27790,JUNQUEIRO,2,18963,18954,JUNQUEIRO,Presidente,12582,,0.663502610346464,JUNQUEIRO,0.0320097031060486,0.65828191741813
RS,89010,SAPUCAIA DO SUL,2,105070,105081,SAPUCAIA DO SUL,Presidente,74237,,0.706548015608642,SAPUCAIA DO SUL,0.0257161892071952,0.535224136290092
AL,28711,SÃO MIGUEL DOS CAMPOS,2,38995,35619,SÃO MIGUEL DOS CAMPOS,Presidente,26921,,0.690370560328247,SÃO MIGUEL DOS CAMPOS,0.0421592511860495,0.553404282600333
PI,10650,DEMERVAL LOBÃO,2,10673,10669,DEMERVAL LOBÃO,Presidente,8640,,0.809519347887192,DEMERVAL LOBÃO,0.0589337580811393,0.536306567975265
MS,90115,AMAMBAI,2,25222,25175,AMAMBAI,Presidente,17270,,0.684719689160257,AMAMBAI,0.0513837126318294,0.630243438268179
AL,28070,MONTEIRÓPOLIS,2,5738,5736,MONTEIRÓPOLIS,Presidente,3821,,0.665911467410247,MONTEIRÓPOLIS,0.0198675496688742,0.725862669919833
PE,23515,BREJO DA MADRE DE DEUS,1,31848,31850,BREJO DA MADRE DE DEUS,Presidente,20650,,0.648392363727707,BREJO DA MADRE DE DEUS,0.00904295403165034,0.803504144687265
MG,50393,POMPÉU,1,23674,23652,POMPÉU,Presidente,15461,,0.653079327532314,POMPÉU,0.0444791754667568,0.584480865084059
MA,7218,AXIXÁ,1,7968,7965,AXIXÁ,Presidente,6776,,0.850401606425703,AXIXÁ,0.0549698795180723,0.440763052208835
MG,46159,INGAÍ,2,2955,2960,INGAÍ,Presidente,1870,,0.632825719120135,INGAÍ,0.033502538071066,0.595939086294416
MG,47058,JAPARAÍBA,1,3348,3346,JAPARAÍBA,Presidente,2483,,0.741636798088411,JAPARAÍBA,0.0292712066905615,0.549283154121864
AL,27936,MARECHAL DEODORO,2,35900,35888,MARECHAL DEODORO,Presidente,24720,,0.688579387186629,MARECHAL DEODORO,0.0601392757660167,0.565376044568245
CE,15270,QUIXADÁ,1,54240,54225,QUIXADÁ,Presidente,42894,,0.790818584070796,QUIXADÁ,0.0721054572271386,0.488237463126844
MG,50253,PIRAÚBA,2,9528,9524,PIRAÚBA,Presidente,6576,,0.690176322418136,PIRAÚBA,0.0293870696893367,0.657010915197313
MA,7439,BURITI BRAVO,2,17900,17900,BURITI BRAVO,Presidente,11802,,0.659329608938548,BURITI BRAVO,0.00932960893854749,0.731787709497207
CE,14257,ITAIÇABA,2,6443,6441,ITAIÇABA,Presidente,5057,,0.784882818562781,ITAIÇABA,0.0929691137668788,0.511718143721869
MG,52396,SÃO GONÇALO DO SAPUCAÍ,1,18871,18869,SÃO GONÇALO DO SAPUCAÍ,Presidente,13177,,0.698267182449261,SÃO GONÇALO DO SAPUCAÍ,0.0498118806634519,0.561443484711992
MG,45519,GOUVEIA,2,10434,10431,GOUVEIA,Presidente,6159,,0.590281771132835,GOUVEIA,0.0220433199156603,0.623250910484953
MG,41548,SÃO DOMINGOS DAS DORES,2,4941,4937,SÃO DOMINGOS DAS DORES,Presidente,3401,,0.688322201983404,SÃO DOMINGOS DAS DORES,0.048775551507792,0.629427241449099
MG,49859,PEDRO LEOPOLDO,2,47323,47315,PEDRO LEOPOLDO,Presidente,32717,,0.691355154998627,PEDRO LEOPOLDO,0.058259197430425,0.46780635209095
SC,83674,TUBARÃO,1,78125,78047,TUBARÃO,Presidente,59539,,0.7620992,TUBARÃO,0.1153536,0.4065408
RJ,58610,NATIVIDADE,1,12372,12365,NATIVIDADE,Presidente,8516,,0.68832848367281,NATIVIDADE,0.0482541222114452,0.51147752990624
RN,17833,PASSAGEM,1,2980,2978,PASSAGEM,Presidente,2512,,0.842953020134228,PASSAGEM,0.0580536912751678,0.568791946308725
SP,69710,RIVERSUL,2,4712,4707,RIVERSUL,Presidente,3032,,0.643463497453311,RIVERSUL,0.0598471986417657,0.573217317487267
MT,90301,LAMBARI D'OESTE,1,4664,4660,LAMBARI D OESTE,Presidente,2986,,0.640222984562607,LAMBARI D'OESTE,0.0143653516295026,0.677315608919383
PB,21318,PILAR,2,9189,6038,PILAR,Presidente,7439,,0.809554902600936,PILAR,0.0461421264555447,0.659266514310589
AL,28576,SANTA LUZIA DO NORTE,1,5783,4641,SANTA LUZIA DO NORTE,Presidente,4200,,0.726266643610583,SANTA LUZIA DO NORTE,0.0427113954694795,0.585509251253675
RJ,58440,ITATIAIA,1,25009,24983,ITATIAIA,Presidente,17752,,0.70982446319325,ITATIAIA,0.0608580910872086,0.515694350033988
CE,15296,QUIXERAMOBIM,2,56473,56458,QUIXERAMOBIM,Presidente,38893,,0.688700795070211,QUIXERAMOBIM,0.0148389495865281,0.649283728507428
BA,37133,MARAGOGIPE,1,32575,32559,MARAGOGIPE,Presidente,23301,,0.715303146584804,MARAGOGIPE,0.0071527244819647,0.661550268610898
CE,14133,INDEPENDÊNCIA,1,21765,21756,INDEPENDÊNCIA,Presidente,14826,,0.68118538938663,INDEPENDÊNCIA,0.0308752584424535,0.646680450264186
SP,68314,PAULÍNIA,1,73171,73151,PAULÍNIA,Presidente,53627,,0.732899646034631,PAULÍNIA,0.0994519686761149,0.38542592010496
SC,83933,TIMBÉ DO SUL,2,4573,3680,TIMBÉ DO SUL,Presidente,3476,,0.760113710911874,TIMBÉ DO SUL,0.0264596544937678,0.648370872512574
SP,61069,MOTUCA,1,3753,3752,MOTUCA,Presidente,2509,,0.668531841193712,MOTUCA,0.0506261657340794,0.512390087929656
MG,41556,BOM JESUS DO GALHO,1,12112,12118,BOM JESUS DO GALHO,Presidente,8211,,0.677922721268164,BOM JESUS DO GALHO,0.017998678996037,0.681555482166447
SC,82538,PINHALZINHO,1,13788,13785,PINHALZINHO,Presidente,11460,,0.831157528285466,PINHALZINHO,0.164490861618799,0.43196982883667
PE,25399,SAIRÉ,1,10113,10108,SAIRÉ,Presidente,7371,,0.728863838623554,SAIRÉ,0.044002768713537,0.664689014140216
RN,18716,SÍTIO NOVO,2,4419,4416,SÍTIO NOVO,Presidente,3152,,0.713283548314098,SÍTIO NOVO,0.0377913555102965,0.592668024439919
PA,5010,ÓBIDOS,1,34663,34451,ÓBIDOS,Presidente,25413,,0.733144851859331,ÓBIDOS,0.0275798401754032,0.634220927213455
SC,83372,SÃO MARTINHO,1,3223,3220,SÃO MARTINHO,Presidente,2678,,0.830902885510394,SÃO MARTINHO,0.0350605026372944,0.606887992553522
CE,14915,ORÓS,1,18749,18740,ORÓS,Presidente,12612,,0.672675876046723,ORÓS,0.0352018774334631,0.664782121713158
MG,48836,NACIP RAYDAN,1,3033,3025,NACIP RAYDAN,Presidente,1804,,0.594790636333663,NACIP RAYDAN,0.0161556214968678,0.688427299703264
MA,8087,PERITORÓ,2,14034,14031,PERITORÓ,Presidente,11131,,0.793145218754454,PERITORÓ,0.0307111301125837,0.628188684623058
AL,27197,BOCA DA MATA,1,19536,17969,BOCA DA MATA,Presidente,12206,,0.62479524979525,BOCA DA MATA,0.0389025389025389,0.539004914004914
PR,74454,BANDEIRANTES,2,24464,24467,BANDEIRANTES,Presidente,19264,,0.787442773054284,BANDEIRANTES,0.143312622629169,0.421108567691302
BA,34533,CHORROCHÓ,1,8944,8942,CHORROCHÓ,Presidente,6291,,0.70337656529517,CHORROCHÓ,0.0290697674418605,0.665362254025045
MG,50431,PORTEIRINHA,1,31305,29152,PORTEIRINHA,Presidente,20433,,0.652707235265932,PORTEIRINHA,0.0189107171378374,0.630154927327903
MG,42110,CAMBUÍ,2,21379,21386,CAMBUÍ,Presidente,13918,,0.651012675990458,CAMBUÍ,0.0480845689695496,0.535478740820431
BA,34592,COARACI,2,16754,16743,COARACI,Presidente,10686,,0.637817834546974,COARACI,0.0274561298794318,0.688611674823923
PR,75086,ARIRANHA DO IVAÍ,2,2074,2074,ARIRANHA DO IVAÍ,Presidente,1695,,0.817261330761813,ARIRANHA DO IVAÍ,0.0631629701060752,0.56702025072324
RO,612,GOVERNADOR JORGE TEIXEIRA,1,7402,7414,GOVERNADOR JORGE TEIXEIRA,Presidente,4991,,0.674277222372332,GOVERNADOR JORGE TEIXEIRA,0.014455552553364,0.738449067819508
SP,62294,BIRIGUI,1,85382,85317,BIRIGUI,Presidente,61721,,0.722880700850296,BIRIGUI,0.0882270267737931,0.420182239816355
PB,20117,VISTA SERRANA,2,2878,2877,VISTA SERRANA,Presidente,1896,,0.658790826963169,VISTA SERRANA,0.0451702571230021,0.666782487838777
MG,48933,NOVA ERA,1,15165,15144,NOVA ERA,Presidente,10360,,0.683151994724695,NOVA ERA,0.0373887240356083,0.523705901747445
RN,17230,LAGOA D'ANTA,1,4833,4832,LAGOA D ANTA,Presidente,3700,,0.765570039313056,LAGOA D'ANTA,0.0542106352162218,0.618456445272088
BA,39357,TREMEDAL,2,16084,16077,TREMEDAL,Presidente,9489,,0.589965182790351,TREMEDAL,0.0207659786122855,0.768900770952499
AL,27014,ÁGUA BRANCA,1,14879,14876,ÁGUA BRANCA,Presidente,10215,,0.686538073795282,ÁGUA BRANCA,0.0288325828348679,0.695208011291081
RS,86509,CAPITÃO,2,2456,2456,CAPITÃO,Presidente,1942,,0.79071661237785,CAPITÃO,0.0374592833876222,0.605863192182411
MA,7650,COELHO NETO,2,28603,28596,COELHO NETO,Presidente,23244,,0.812642030556235,COELHO NETO,0.0512184036639513,0.59158130266056
MG,40991,BALDIM,1,6931,6927,BALDIM,Presidente,4828,,0.696580580002886,BALDIM,0.0298658202279613,0.572356081373539
BA,34835,CORONEL JOÃO SÁ,1,11513,11531,CORONEL JOÃO SÁ,Presidente,9281,,0.806132198384435,CORONEL JOÃO SÁ,0.0548076087900634,0.704421089203509
PB,20893,MOGEIRO,1,10042,10036,MOGEIRO,Presidente,7792,,0.77594104760008,MOGEIRO,0.0301732722565226,0.635929097789285
SP,65773,ITOBI,1,6348,6343,ITOBI,Presidente,4324,,0.681159420289855,ITOBI,0.0516698172652804,0.531190926275992
MG,46655,ITAOBIM,1,16540,16535,ITAOBIM,Presidente,10116,,0.611608222490931,ITAOBIM,0.019770253929867,0.667472793228537
SC,80616,CAMBORIÚ,2,47674,47655,CAMBORIÚ,Presidente,38122,,0.799639216344339,CAMBORIÚ,0.106368251038302,0.426920333934639
SP,71196,SÃO SIMÃO,2,12228,12226,SÃO SIMÃO,Presidente,7768,,0.635263330062152,SÃO SIMÃO,0.101651946352633,0.400556100752372
TO,96130,SÍTIO NOVO DO TOCANTINS,1,7141,7139,SÍTIO NOVO DO TOCANTINS,Presidente,5739,,0.803668953928021,SÍTIO NOVO DO TOCANTINS,0.0700182047332307,0.510572748914718
MT,90476,CÁCERES,2,61684,60131,CÁCERES,Presidente,42215,,0.684375202645743,CÁCERES,0.0796316710978536,0.485652681408469
BA,36315,ITAPICURU,1,23259,23268,ITAPICURU,Presidente,14452,,0.621350874930135,ITAPICURU,0.00679306934949912,0.845049228255729
MG,44113,CRUCILÂNDIA,2,5087,5085,CRUCILÂNDIA,Presidente,3223,,0.633575781403578,CRUCILÂNDIA,0.0292903479457441,0.679575388244545
BA,33073,ÁGUA FRIA,2,12009,12001,ÁGUA FRIA,Presidente,7737,,0.644266799900075,ÁGUA FRIA,0.00507952369056541,0.7821633774669
PR,77690,PIRAQUARA,2,62695,62686,PIRAQUARA,Presidente,47789,,0.762245793125449,PIRAQUARA,0.060945848951272,0.440242443576043
BA,37257,MIGUEL CALMON,2,21540,21528,MIGUEL CALMON,Presidente,13788,,0.640111420612813,MIGUEL CALMON,0.0271587743732591,0.700696378830084
PR,75361,FOZ DO JORDÃO,2,3946,3946,FOZ DO JORDÃO,Presidente,2948,,0.747085656360872,FOZ DO JORDÃO,0.0570197668525089,0.582108464267613
SC,82198,MORRO DA FUMAÇA,2,13085,13087,MORRO DA FUMAÇA,Presidente,10422,,0.796484524264425,MORRO DA FUMAÇA,0.0366068016813145,0.575544516622086
SP,69272,PRESIDENTE EPITÁCIO,2,31797,31756,PRESIDENTE EPITÁCIO,Presidente,19352,,0.608610875239803,PRESIDENTE EPITÁCIO,0.0630248136616662,0.462527911438186
AM,2330,FONTE BOA,1,14879,14872,FONTE BOA,Presidente,9688,,0.651119026816318,FONTE BOA,0.0297735062840245,0.651051817998521
SP,66257,JUQUITIBA,1,22852,22838,JUQUITIBA,Presidente,15411,,0.674382986171889,JUQUITIBA,0.0327761246280413,0.533870120777175
PR,78255,ROLÂNDIA,2,46562,46541,ROLÂNDIA,Presidente,36568,,0.78536145354581,ROLÂNDIA,0.147115673725355,0.420879687298656
SP,68454,PEDRO DE TOLEDO,1,8238,8225,PEDRO DE TOLEDO,Presidente,4810,,0.583879582422918,PEDRO DE TOLEDO,0.0420004855547463,0.507404709881039
PR,78271,RONCADOR,1,8140,8140,RONCADOR,Presidente,6749,,0.829115479115479,RONCADOR,0.0791154791154791,0.579361179361179
MG,40126,DIVISA ALEGRE,1,4874,4869,DIVISA ALEGRE,Presidente,2996,,0.614690192860074,DIVISA ALEGRE,0.0145670906852688,0.691834222404596
RN,16160,MAJOR SALES,2,2802,1407,MAJOR SALES,Presidente,2247,,0.801927194860814,MAJOR SALES,0.0603140613847252,0.622412562455389
BA,33537,BARRA,2,35732,35349,BARRA,Presidente,24130,,0.675305048695847,BARRA,0.0089835441620956,0.678859285794246
PI,12688,CAXINGÓ,1,4910,4910,CAXINGÓ,Presidente,4011,,0.816904276985743,CAXINGÓ,0.0336048879837067,0.736456211812627
RN,16497,CARNAUBAIS,2,8460,8457,CARNAUBAIS,Presidente,6357,,0.751418439716312,CARNAUBAIS,0.0360520094562648,0.594799054373523
PE,26018,TEREZINHA,2,6202,6206,TEREZINHA,Presidente,4530,,0.730409545307965,TEREZINHA,0.00483714930667527,0.764592067075137
PA,5215,PRIMAVERA,2,9982,9980,PRIMAVERA,Presidente,6741,,0.67531556802244,PRIMAVERA,0.0262472450410739,0.627930274494089
RO,566,URUPÁ,1,9293,9294,URUPÁ,Presidente,6227,,0.670074249435059,URUPÁ,0.017540083934144,0.73248681803508
SP,63177,CASA BRANCA,1,20766,20736,CASA BRANCA,Presidente,13419,,0.646200520080901,CASA BRANCA,0.106809207358182,0.404218433978619
RS,88420,BENJAMIN CONSTANT DO SUL,1,1939,1939,BENJAMIN CONSTANT DO SUL,Presidente,1485,,0.765858690046416,BENJAMIN CONSTANT DO SUL,0.0345538937596699,0.640536358947911
PB,19976,COREMAS,2,11342,11347,COREMAS,Presidente,8495,,0.748986069476283,COREMAS,0.0640098748016223,0.661347205078469
SP,69132,PORTO FELIZ,2,40560,40546,PORTO FELIZ,Presidente,27830,,0.686143984220907,PORTO FELIZ,0.0749260355029586,0.466444773175542
PE,23396,BODOCÓ,1,21992,21978,BODOCÓ,Presidente,17182,,0.781284103310295,BODOCÓ,0.0523826846125864,0.618224809021462
RS,87947,SINIMBU,1,6440,6436,SINIMBU,Presidente,5682,,0.882298136645963,SINIMBU,0.0487577639751553,0.714596273291925
MA,9490,VIANA,2,34491,34480,VIANA,Presidente,24987,,0.7244498564843,VIANA,0.0416630425328347,0.521962251022006
RS,89753,SALTO DO JACUÍ,2,7762,7759,SALTO DO JACUÍ,Presidente,5965,,0.768487503220819,SALTO DO JACUÍ,0.0992012367946406,0.556428755475393
SC,80861,IRATI,1,1943,1943,IRATI,Presidente,1532,,0.788471435923829,IRATI,0.0283067421513124,0.626865671641791
PI,10731,ESPERANTINA,1,28221,28215,ESPERANTINA,Presidente,21074,,0.746748874951277,ESPERANTINA,0.0559158073774849,0.616455830764324
PA,4952,MONTE ALEGRE,1,45557,45541,MONTE ALEGRE,Presidente,33968,,0.745615382926883,MONTE ALEGRE,0.034308668261738,0.638387075531751
SC,80357,ATALANTA,2,2872,2871,ATALANTA,Presidente,2313,,0.805362116991643,ATALANTA,0.0313370473537604,0.610376044568245
RO,736,ALTO ALEGRE DOS PARECIS,2,8097,8097,ALTO ALEGRE DOS PARECIS,Presidente,6034,,0.745214276892676,ALTO ALEGRE DOS PARECIS,0.0492775101889589,0.670371742620724
MG,50318,PLANURA,1,8192,8190,PLANURA,Presidente,5520,,0.673828125,PLANURA,0.0283203125,0.588623046875
MS,90930,IVINHEMA,2,19044,19034,IVINHEMA,Presidente,13468,,0.707204368830078,IVINHEMA,0.0773471959672338,0.550987187565637
PR,78778,SÃO JOÃO DO TRIUNFO,1,10811,10809,SÃO JOÃO DO TRIUNFO,Presidente,8532,,0.789196189066691,SÃO JOÃO DO TRIUNFO,0.0445842197761539,0.641753769309037
SP,66974,MINEIROS DO TIETÊ,1,9224,6024,MINEIROS DO TIETÊ,Presidente,6358,,0.689288811795317,MINEIROS DO TIETÊ,0.0578924544666088,0.520381613183001
BA,34274,CANDEAL,1,7212,7209,CANDEAL,Presidente,5408,,0.749861342207432,CANDEAL,0.00998336106489185,0.661536328341653
BA,39985,SOBRADINHO,1,17594,17588,SOBRADINHO,Presidente,13192,,0.749801068546095,SOBRADINHO,0.0173354552688417,0.67699215641696
MA,7390,BREJO,2,20505,20497,BREJO,Presidente,15899,,0.775371860521824,BREJO,0.0347232382345769,0.620385271884906
PA,4596,FARO,2,5857,5846,FARO,Presidente,3849,,0.657162369813898,FARO,0.0184394741335155,0.718115075977463
PB,20036,CUITÉ,1,15606,13085,CUITÉ,Presidente,12062,,0.772907855952839,CUITÉ,0.0599769319492503,0.598231449442522
PR,77216,NOVA ESPERANÇA,1,21074,18532,NOVA ESPERANÇA,Presidente,14569,,0.691325804308627,NOVA ESPERANÇA,0.0690424219417291,0.509680174622758
PE,25577,SÃO BENEDITO DO SUL,1,8555,8553,SÃO BENEDITO DO SUL,Presidente,4559,,0.532904734073641,SÃO BENEDITO DO SUL,0.00818234950321449,0.780596142606663
MG,49212,OURO PRETO,1,60957,60957,OURO PRETO,Presidente,42773,,0.701691356201913,OURO PRETO,0.0549567728070607,0.485456961464639
BA,35971,ITABUNA,2,154473,150934,ITABUNA,Presidente,104064,,0.673671126993067,ITABUNA,0.0645873388877021,0.481171466858286
PE,26239,VERTENTES,2,15804,15802,VERTENTES,Presidente,11237,,0.711022525942799,VERTENTES,0.0110731460389775,0.759554543153632
MG,54135,VARGINHA,1,98704,98588,VARGINHA,Presidente,72476,,0.734276219808721,VARGINHA,0.0865213162587129,0.438695493597017
PE,23612,CACHOEIRINHA,1,15316,12933,CACHOEIRINHA,Presidente,10326,,0.674196918255419,CACHOEIRINHA,0.0331026377644294,0.667863671977018
MT,98973,VERA,1,6292,6290,VERA,Presidente,4148,,0.659249841068023,VERA,0.0295613477431659,0.631118881118881
BA,35270,GLÓRIA,2,12782,12803,GLÓRIA,Presidente,9556,,0.747613831951181,GLÓRIA,0.015881708652793,0.720544515725239
BA,33570,BARRA DO CHOÇA,2,28301,28285,BARRA DO CHOÇA,Presidente,19125,,0.675771174163457,BARRA DO CHOÇA,0.0365358114554256,0.703367372177662
RS,88641,CERRITO,1,5418,5416,CERRITO,Presidente,4028,,0.743447766703581,CERRITO,0.0553709856035437,0.633628645256552
CE,14052,HIDROLÂNDIA,1,13960,13948,HIDROLÂNDIA,Presidente,11352,,0.813180515759312,HIDROLÂNDIA,0.0643982808022923,0.608595988538682
PR,76295,JACAREZINHO,2,28540,28521,JACAREZINHO,Presidente,22621,,0.79260686755431,JACAREZINHO,0.157988787666433,0.396846531184303
MT,89958,RIO BRANCO,1,4031,4032,RIO BRANCO,Presidente,2713,,0.67303398660382,RIO BRANCO,0.0215827338129496,0.620441577772265
MA,7005,ÁGUA DOCE DO MARANHÃO,2,11208,11207,ÁGUA DOCE DO MARANHÃO,Presidente,7306,,0.651855817273376,ÁGUA DOCE DO MARANHÃO,0.0100820842255532,0.797198429693076
MG,41831,BUENÓPOLIS,1,8540,8529,BUENÓPOLIS,Presidente,4630,,0.542154566744731,BUENÓPOLIS,0.024824355971897,0.613583138173302
PR,76791,MANDIRITUBA,1,17727,17726,MANDIRITUBA,Presidente,13249,,0.747390985502341,MANDIRITUBA,0.0534213346872003,0.53720313645851
RS,89192,SOLEDADE,2,20286,20285,SOLEDADE,Presidente,16005,,0.788967761017451,SOLEDADE,0.131716454697821,0.454056985112886
PA,4421,NOVO REPARTIMENTO,1,40473,40461,NOVO REPARTIMENTO,Presidente,27360,,0.676006226373138,NOVO REPARTIMENTO,0.0109455686507054,0.795147382205421
MG,54194,VAZANTE,1,16389,16379,VAZANTE,Presidente,11148,,0.680212337543474,VAZANTE,0.0372811031789615,0.531881139788883
PR,79359,UMUARAMA,2,76375,76348,UMUARAMA,Presidente,60870,,0.796988543371522,UMUARAMA,0.171194762684124,0.383554828150573
MG,50679,PRESIDENTE OLEGÁRIO,2,16539,16520,PRESIDENTE OLEGÁRIO,Presidente,10103,,0.61085918132898,PRESIDENTE OLEGÁRIO,0.0315617631053873,0.606929076727734
AL,27634,IGREJA NOVA,1,16758,16756,IGREJA NOVA,Presidente,11524,,0.687671559852011,IGREJA NOVA,0.0216612960973863,0.700799618092851
PR,77356,PALMEIRA,1,25227,25215,PALMEIRA,Presidente,20200,,0.800729377254529,PALMEIRA,0.105363301224878,0.500772981329528
RO,639,ALTO PARAÍSO,2,11942,11951,ALTO PARAÍSO,Presidente,7958,,0.666387539775582,ALTO PARAÍSO,0.0370122257578295,0.632306146374142
MS,90379,BATAGUASSU,2,17767,17763,BATAGUASSU,Presidente,11204,,0.630607305679068,BATAGUASSU,0.0690043338774132,0.521978949738279
RS,85600,VISTA ALEGRE,2,2429,2427,VISTA ALEGRE,Presidente,2000,,0.823384108686702,VISTA ALEGRE,0.107451626183615,0.547550432276657
PI,11592,PICOS,1,50670,50618,PICOS,Presidente,40095,,0.791296625222025,PICOS,0.0803236629169134,0.515452930728242
AM,98353,IRANDUBA,1,30612,30342,IRANDUBA,Presidente,24976,,0.815889193780217,IRANDUBA,0.0494250620671632,0.476969815758526
RS,85073,ALEGRETE,2,60101,59794,ALEGRETE,Presidente,40240,,0.669539608325985,ALEGRETE,0.0771867356616363,0.492354536530174
MG,50733,QUARTEL GERAL,1,3306,3305,QUARTEL GERAL,Presidente,2310,,0.698729582577133,QUARTEL GERAL,0.0426497277676951,0.624621899576528
BA,33693,BELO CAMPO,2,14897,14890,BELO CAMPO,Presidente,9535,,0.640061757400819,BELO CAMPO,0.0100020138282876,0.758139222662281
AL,27030,ANADIA,2,12613,12605,ANADIA,Presidente,7893,,0.62578292238167,ANADIA,0.0355981923412352,0.656941251090145
PR,74330,MARILÂNDIA DO SUL,2,7013,7016,MARILÂNDIA DO SUL,Presidente,5360,,0.764294880935406,MARILÂNDIA DO SUL,0.0831313275345787,0.545415656637673
MG,43214,CHAPADA DO NORTE,1,9796,9162,CHAPADA DO NORTE,Presidente,5220,,0.532870559412005,CHAPADA DO NORTE,0.0155165373621887,0.714169048591262
RS,85979,CATUÍPE,2,7155,7150,CATUÍPE,Presidente,5738,,0.801956673654787,CATUÍPE,0.119496855345912,0.551083158630329
RS,88455,SANT'ANA DO LIVRAMENTO,1,73748,73649,SANT ANA DO LIVRAMENTO,Presidente,50262,,0.681537126430547,SANT'ANA DO LIVRAMENTO,0.0743884579920812,0.487484406356783
BA,38318,RIBEIRA DO AMPARO,2,11963,11954,RIBEIRA DO AMPARO,Presidente,7845,,0.655771963554292,RIBEIRA DO AMPARO,0.00668728579787679,0.782245256206637
PI,10820,ILHA GRANDE,1,7653,7653,ILHA GRANDE,Presidente,5866,,0.766496798641056,ILHA GRANDE,0.0301842414739318,0.61453024957533
MG,54151,VÁRZEA DA PALMA,2,26880,26058,VÁRZEA DA PALMA,Presidente,15633,,0.581584821428571,VÁRZEA DA PALMA,0.0335565476190476,0.584263392857143
MG,41483,SANTA CRUZ DE SALINAS,1,4364,4361,SANTA CRUZ DE SALINAS,Presidente,2588,,0.593033913840513,SANTA CRUZ DE SALINAS,0.0153528872593951,0.711503208065995
PE,23370,BEZERROS,1,43668,43646,BEZERROS,Presidente,30765,,0.704520472657323,BEZERROS,0.0579142621599341,0.605637995786388
SP,64157,FERRAZ DE VASCONCELOS,1,126928,126873,FERRAZ DE VASCONCELOS,Presidente,87695,,0.690903504348922,FERRAZ DE VASCONCELOS,0.0362016261187445,0.428100970629018
MG,52094,SANTO ANTÔNIO DO RIO ABAIXO,1,2038,2038,SANTO ANTÔNIO DO RIO ABAIXO,Presidente,1320,,0.647693817468106,SANTO ANTÔNIO DO RIO ABAIXO,0.0731108930323847,0.516192345436703
PI,12025,SÃO JOÃO DA VARJOTA,1,3701,3699,SÃO JOÃO DA VARJOTA,Presidente,2840,,0.767360172926236,SÃO JOÃO DA VARJOTA,0.0491758984058363,0.643069440691705
SP,71196,SÃO SIMÃO,1,12228,12226,SÃO SIMÃO,Presidente,8227,,0.672800130847236,SÃO SIMÃO,0.101651946352633,0.400556100752372
